NUMBER	CODE	CODE
1	KC	KC
2	CIN	CIN
3	SF	SF
4	PHI	PHI
5	BUF	BUF
6	JAX	JAX
7	NYJ	NYJ
8	LAC	LAC
9	DAL	DAL
10	NO	NO
11	MIA	MIA
12	DET	DET
13	CLE	CLE
14	BAL	BAL
15	SEA	SEA
16	MIN	MIN
17	DEN	DEN
18	PIT	PIT
19	NYG	NYG
20	LAR	LAR
21	NE	NE
22	CHI	CHI
23	ATL	ATL
24	CAR	CAR
25	TEN	TEN
26	LV	LV
27	GB	GB
28	WSH	WSH
29	IND	IND
30	TB	TB
31	HOU	HOU
32	ARI	ARI
